date,open,close,high,low,volume,code
2012-10-08,181.019,177.063,181.019,175.248,23608.0,600519
2012-10-09,177.831,180.17,180.834,177.137,23410.0,600519
2012-10-10,179.322,179.927,180.672,177.661,13456.0,600519
2012-10-11,178.842,178.532,179.875,177.942,10625.0,600519
2012-10-12,179.041,179.698,180.643,178.384,11742.0,600519
2012-10-15,180.628,181.321,182.45,180.628,18883.0,600519
2012-10-16,180.879,184.347,185.284,180.879,27737.0,600519
2012-10-17,184.347,183.587,184.856,182.938,15980.0,600519
2012-10-18,183.934,185.388,187.808,183.749,22278.0,600519
2012-10-19,185.41,186.701,188.147,185.41,18629.0,600519
2012-10-22,186.465,184.886,187.092,182.864,19117.0,600519
2012-10-23,185.078,180.576,185.078,180.502,18702.0,600519
2012-10-24,180.502,181.742,182.362,180.133,10972.0,600519
2012-10-25,182.273,181.587,183.011,180.281,9159.0,600519
2012-10-26,183.543,177.912,183.735,177.159,24559.0,600519
2012-10-29,178.281,178.451,179.764,176.407,14490.0,600519
2012-10-30,178.436,180.488,181.159,178.001,15610.0,600519
2012-10-31,180.443,182.524,182.967,179.801,15845.0,600519
2012-11-01,183.166,184.044,185.114,181.794,18191.0,600519
2012-11-02,183.897,183.277,184.856,181.742,16974.0,600519
2012-11-05,182.266,179.263,182.266,177.993,22665.0,600519
2012-11-06,178.886,174.104,178.886,173.787,41713.0,600519
2012-11-07,173.418,175.241,175.654,173.418,16217.0,600519
2012-11-08,174.149,172.754,174.857,172.569,16261.0,600519
2012-11-09,172.746,173.278,174.008,172.429,11670.0,600519
2012-11-12,173.418,170.806,173.994,168.909,20464.0,600519
2012-11-13,170.466,168.297,170.466,166.555,20447.0,600519
2012-11-14,168.533,170.208,170.466,167.145,12238.0,600519
2012-11-15,168.99,167.699,168.99,167.02,11400.0,600519
2012-11-16,167.367,165.596,167.478,164.194,19677.0,600519
2012-11-19,165.596,157.958,165.596,154.158,70484.0,600519
2012-11-20,157.072,159.367,161.124,156.814,38078.0,600519
2012-11-21,159.286,161.353,162.201,156.29,33334.0,600519
2012-11-22,153.124,160.349,160.474,152.608,51520.0,600519
2012-11-23,158.674,163.994,164.563,158.666,29844.0,600519
2012-11-26,163.389,160.172,163.677,159.028,21954.0,600519
2012-11-27,160.172,162.172,163.153,159.53,20458.0,600519
2012-11-28,161.795,161.161,161.795,160.135,15017.0,600519
2012-11-29,161.168,161.817,162.437,160.976,15675.0,600519
2012-11-30,161.758,159.404,161.758,157.338,21371.0,600519
2012-12-03,157.183,147.73,157.183,146.889,79372.0,600519
2012-12-04,143.907,145.339,147.575,140.801,78705.0,600519
2012-12-05,143.383,145.11,147.974,139.199,111703.0,600519
2012-12-06,144.786,143.317,145.376,135.783,117561.0,600519
2012-12-07,145.369,146.697,149.575,145.066,99501.0,600519
2012-12-11,146.483,149.294,153.493,146.483,92232.0,600519
2012-12-12,151.28,156.342,156.438,149.435,64325.0,600519
2012-12-13,154.888,151.796,158.644,151.353,61996.0,600519
2012-12-14,149.804,153.434,154.6,146.483,78926.0,600519
2012-12-17,152.017,155.774,157.67,149.066,71361.0,600519
2012-12-18,155.862,158.312,159.973,155.833,46945.0,600519
2012-12-19,157.279,161.943,163.087,157.191,47569.0,600519
2012-12-20,161.242,161.168,162.644,159.094,34434.0,600519
2012-12-21,160.644,159.84,161.611,159.272,25092.0,600519
2012-12-24,156.453,150.97,156.453,147.59,100050.0,600519
2012-12-25,149.73,151.073,152.659,148.49,59533.0,600519
2012-12-26,150.379,151.464,152.608,149.59,44866.0,600519
2012-12-27,151.501,153.183,154.6,150.35,60926.0,600519
2012-12-28,153.198,156.667,159.087,153.198,56589.0,600519
2012-12-31,157.412,154.246,158.511,152.276,51914.0,600519
2013-01-04,156.445,152.711,156.445,151.28,58370.0,600519
2013-01-07,151.929,150.756,151.929,149.435,41271.0,600519
2013-01-08,149.936,155.589,155.597,149.936,65286.0,600519
2013-01-09,156.076,159.729,160.615,156.076,53749.0,600519
2013-01-10,159.087,158.29,160.135,157.183,30527.0,600519
2013-01-11,157.714,155.899,158.77,154.881,37009.0,600519
2013-01-14,153.862,154.541,155.191,149.663,68183.0,600519
2013-01-15,154.076,155.597,156.519,152.623,52635.0,600519
2013-01-16,151.28,152.017,152.608,150.305,69501.0,600519
2013-01-17,151.272,151.375,153.257,150.925,36201.0,600519
2013-01-18,152.128,150.364,152.372,147.671,55318.0,600519
2013-01-21,149.656,145.605,149.656,144.859,74779.0,600519
2013-01-22,144.498,146.726,147.391,139.472,73815.0,600519
2013-01-23,144.638,146.837,147.228,143.015,51013.0,600519
2013-01-24,146.04,144.608,147.664,143.752,59474.0,600519
2013-01-25,139.472,139.509,141.539,137.332,80007.0,600519
2013-01-28,137.259,131.724,138.587,131.355,158290.0,600519
2013-01-29,129.879,131.473,132.823,126.927,115447.0,600519
2013-01-30,130.654,132.919,134.668,130.381,71376.0,600519
2013-01-31,133.716,132.019,134.159,131.185,37816.0,600519
2013-02-01,132.004,132.078,134.137,131.377,45265.0,600519
2013-02-04,132.831,129.237,133.532,128.403,64964.0,600519
2013-02-05,129.104,136.1,136.152,128.256,87825.0,600519
2013-02-06,136.506,135.731,136.572,134.307,46195.0,600519
2013-02-07,135.045,136.646,137.664,133.805,48567.0,600519
2013-02-08,136.631,138.631,139.03,136.004,41572.0,600519
2013-02-18,138.956,132.602,138.956,132.093,56569.0,600519
2013-02-19,132.078,131.296,133.266,130.469,37737.0,600519
2013-02-20,130.617,131.281,132.816,129.156,36582.0,600519
2013-02-21,129.311,132.846,136.668,129.178,53832.0,600519
2013-02-22,133.569,136.956,137.701,133.569,62864.0,600519
2013-02-25,135.783,133.635,136.779,133.023,34549.0,600519
2013-02-26,133.347,130.89,135.783,130.86,43754.0,600519
2013-02-27,130.329,130.447,131.871,129.554,34158.0,600519
2013-02-28,131.207,129.141,131.207,126.927,56786.0,600519
2013-03-01,128.625,128.27,129.85,127.658,38003.0,600519
2013-03-04,128.196,128.934,130.337,128.196,52072.0,600519
2013-03-05,129.451,129.141,130.218,128.3,36974.0,600519
2013-03-06,129.879,130.779,130.838,128.145,49227.0,600519
2013-03-07,132.373,135.679,139.177,132.329,85190.0,600519
2013-03-08,137.266,135.879,138.365,135.539,35959.0,600519
2013-03-11,135.635,136.668,136.89,134.167,34965.0,600519
2013-03-12,137.259,134.44,137.332,132.831,25393.0,600519
2013-03-13,134.602,135.657,137.273,134.602,30769.0,600519
2013-03-14,134.676,132.049,136.351,131.842,35124.0,600519
2013-03-15,131.001,130.595,133.347,129.215,35961.0,600519
2013-03-18,130.543,125.045,130.543,124.116,78231.0,600519
2013-03-19,124.123,121.894,125.318,121.4,63414.0,600519
2013-03-20,121.953,125.385,125.887,121.097,71894.0,600519
2013-03-21,125.082,123.075,125.082,122.352,65392.0,600519
2013-03-22,122.854,124.75,125.378,122.286,45578.0,600519
2013-03-25,124.713,124.736,126.02,124.049,31966.0,600519
2013-03-26,124.787,125.363,126.344,124.278,32480.0,600519
2013-03-27,125.459,123.083,125.747,122.057,47662.0,600519
2013-03-28,122.559,123.105,124.108,119.777,41490.0,600519
2013-03-29,123.422,124.61,125.134,122.514,47717.0,600519
2013-04-01,124.042,121.725,124.315,121.452,29128.0,600519
2013-04-02,121.835,120.81,122.477,120.485,32524.0,600519
2013-04-03,120.787,120.913,121.762,120.419,21990.0,600519
2013-04-08,119.651,121.26,121.762,118.404,37732.0,600519
2013-04-09,120.942,120.728,121.688,120.064,24194.0,600519
2013-04-10,121.024,125.422,126.27,120.064,70858.0,600519
2013-04-11,125.451,124.654,126.189,124.197,29729.0,600519
2013-04-12,124.654,127.097,128.698,124.344,59800.0,600519
2013-04-15,127.126,127.473,128.152,125.466,28336.0,600519
2013-04-16,125.451,127.783,129.289,125.156,39137.0,600519
2013-04-17,128.108,131.717,131.923,128.071,42974.0,600519
2013-04-18,130.765,132.204,132.831,129.886,41956.0,600519
2013-04-19,132.388,132.263,132.742,130.536,39238.0,600519
2013-04-22,132.019,128.189,132.019,128.034,42745.0,600519
2013-04-23,128.034,126.787,129.126,126.706,30952.0,600519
2013-04-24,127.09,129.045,129.141,125.673,30402.0,600519
2013-04-25,128.418,130.396,131.03,127.828,25359.0,600519
2013-04-26,130.92,128.396,131.355,127.673,16307.0,600519
2013-05-02,127.665,126.27,127.702,124.736,28586.0,600519
2013-05-03,126.78,127.259,128.418,125.894,21460.0,600519
2013-05-06,127.665,131.207,131.34,126.912,30196.0,600519
2013-05-07,132.108,138.506,138.985,132.108,71020.0,600519
2013-05-08,138.587,139.391,140.21,137.354,42416.0,600519
2013-05-09,139.664,145.509,145.524,139.664,70134.0,600519
2013-05-10,145.383,145.457,148.269,144.645,48776.0,600519
2013-05-13,145.457,145.878,148.771,142.992,32579.0,600519
2013-05-14,144.712,141.088,145.45,140.218,36431.0,600519
2013-05-15,140.86,143.649,145.125,140.742,23264.0,600519
2013-05-16,143.169,143.789,147.966,141.686,45462.0,600519
2013-05-17,143.221,144.572,144.97,142.424,33556.0,600519
2013-05-20,145.228,143.9,146.468,143.494,30944.0,600519
2013-05-21,143.811,143.915,144.461,142.801,23102.0,600519
2013-05-22,144.38,147.199,148.033,143.974,46149.0,600519
2013-05-23,147.295,149.39,152.379,147.295,62247.0,600519
2013-05-24,150.542,148.276,152.881,147.59,45073.0,600519
2013-05-27,149.044,148.793,149.139,146.114,26778.0,600519
2013-05-28,148.977,149.169,150.032,147.258,23676.0,600519
2013-05-29,149.804,148.689,152.659,148.586,32340.0,600519
2013-05-30,148.18,147.774,149.671,146.859,25019.0,600519
2013-05-31,148.306,145.45,148.623,145.376,24590.0,600519
2013-06-03,146.188,149.125,149.472,145.509,40256.0,600519
2013-06-04,149.287,148.844,151.501,148.807,42356.0,600519
2013-06-05,149.058,148.453,149.435,147.28,23724.0,600519
2013-06-06,148.483,148.815,151.132,148.483,33877.0,600519
2013-06-07,148.71,149.587,152.437,147.491,25478.0,600519
2013-06-13,148.718,148.405,151.279,146.347,44998.0,600519
2013-06-14,148.131,147.879,148.626,144.495,32518.0,600519
2013-06-17,148.07,144.419,148.611,144.213,29689.0,600519
2013-06-18,144.175,146.073,146.187,142.163,27377.0,600519
2013-06-19,145.486,148.497,149.007,143.443,28909.0,600519
2013-06-20,148.215,146.142,148.992,145.28,25586.0,600519
2013-06-21,144.846,145.707,149.297,142.91,39654.0,600519
2013-06-24,146.043,141.477,146.34,141.142,40807.0,600519
2013-06-25,141.431,144.693,145.044,134.168,51352.0,600519
2013-06-26,143.665,143.84,144.678,140.837,32903.0,600519
2013-06-27,143.84,144.495,146.607,143.36,34135.0,600519
2013-06-28,143.939,146.622,147.453,143.939,28070.0,600519
2013-07-01,146.363,148.085,148.603,145.593,25828.0,600519
2013-07-02,148.07,150.875,151.667,146.812,33453.0,600519
2013-07-03,151.599,150.89,152.285,149.488,35424.0,600519
2013-07-04,150.204,149.861,152.331,149.831,24214.0,600519
2013-07-05,150.075,150.242,151.957,150.075,17779.0,600519
2013-07-08,150.059,148.748,150.829,147.102,24113.0,600519
