date,open,close,high,low,volume,code
2012-10-08,11.111,11.107,11.308,10.957,21058.0,002230
2012-10-09,11.096,11.4,11.443,11.084,51547.0,002230
2012-10-10,11.4,11.57,11.709,11.296,91048.0,002230
2012-10-11,11.497,11.659,11.748,11.265,49982.0,002230
2012-10-12,11.659,11.462,11.921,11.42,59682.0,002230
2012-10-15,11.516,11.458,11.613,11.246,30939.0,002230
2012-10-16,11.458,11.246,11.501,11.204,41987.0,002230
2012-10-17,11.265,11.138,11.273,10.891,47237.0,002230
2012-10-18,11.107,11.455,11.458,11.069,34228.0,002230
2012-10-19,11.451,11.339,11.624,11.227,25124.0,002230
2012-10-22,11.354,11.377,11.385,11.134,21904.0,002230
2012-10-23,11.393,11.273,11.424,11.181,16137.0,002230
2012-10-24,11.188,11.111,11.428,11.076,23807.0,002230
2012-10-25,11.073,10.799,11.177,10.729,28974.0,002230
2012-10-26,10.799,10.64,10.934,10.536,26655.0,002230
2012-10-29,10.648,10.756,10.853,10.61,19960.0,002230
2012-10-30,10.76,10.803,10.995,10.76,21020.0,002230
2012-10-31,10.803,10.795,10.895,10.687,15912.0,002230
2012-11-01,10.803,10.945,10.992,10.768,28164.0,002230
2012-11-02,10.957,11.397,11.466,10.949,53673.0,002230
2012-11-05,11.362,11.782,11.944,11.323,95294.0,002230
2012-11-06,11.69,11.678,11.767,11.37,62214.0,002230
2012-11-07,11.613,11.763,11.921,11.539,68291.0,002230
2012-11-08,11.586,11.231,11.879,11.231,54635.0,002230
2012-11-09,11.208,11.107,11.431,10.968,45756.0,002230
2012-11-12,11.157,11.111,11.331,10.976,24079.0,002230
2012-11-13,11.111,10.88,11.169,10.841,21243.0,002230
2012-11-14,10.914,10.868,10.984,10.644,36086.0,002230
2012-11-15,10.868,10.818,11.034,10.764,24087.0,002230
2012-11-16,10.818,10.687,10.899,10.455,30277.0,002230
2012-11-19,10.683,10.559,10.795,10.471,19504.0,002230
2012-11-20,10.583,10.799,10.961,10.583,29184.0,002230
2012-11-21,10.803,10.795,10.968,10.571,20997.0,002230
2012-11-22,10.745,10.486,10.791,10.405,21935.0,002230
2012-11-23,10.513,10.448,10.606,10.324,21050.0,002230
2012-11-26,10.413,9.838,10.598,9.429,94300.0,002230
2012-11-27,9.765,9.336,9.765,9.259,65728.0,002230
2012-11-28,9.394,9.375,9.471,9.163,24956.0,002230
2012-11-29,9.433,9.356,9.444,9.07,34461.0,002230
2012-11-30,9.333,9.398,9.533,9.275,16994.0,002230
2012-12-03,9.471,9.437,9.73,9.398,35595.0,002230
2012-12-04,9.375,9.537,9.545,9.186,35622.0,002230
2012-12-05,9.487,9.977,10.178,9.414,47472.0,002230
2012-12-06,10.062,10.077,10.216,10.004,33351.0,002230
2012-12-07,9.996,10.139,10.224,9.954,21795.0,002230
2012-12-10,10.112,10.259,10.494,10.108,30684.0,002230
2012-12-11,10.27,10.031,10.359,9.954,22371.0,002230
2012-12-12,10.031,9.799,10.05,9.726,23008.0,002230
2012-12-13,9.819,9.927,9.942,9.614,24889.0,002230
2012-12-14,9.877,10.309,10.494,9.861,42755.0,002230
2012-12-17,10.301,10.108,10.313,9.336,81299.0,002230
2012-12-18,9.985,9.915,10.085,9.877,26256.0,002230
2012-12-19,9.915,10.471,10.525,9.838,56596.0,002230
