date,open,close,high,low,volume,code
2012-10-08,10.085,10.13,10.212,9.995,152950.0,600104
2012-10-09,10.19,10.324,10.444,10.16,183771.0,600104
2012-10-10,10.257,10.25,10.459,10.205,163474.0,600104
2012-10-11,10.212,9.913,10.212,9.876,196231.0,600104
2012-10-12,9.95,9.958,10.085,9.823,132532.0,600104
2012-10-15,9.95,9.801,9.95,9.696,137259.0,600104
2012-10-16,9.748,9.614,9.906,9.591,205830.0,600104
2012-10-17,9.651,9.733,9.793,9.539,116496.0,600104
2012-10-18,9.748,10.093,10.1,9.741,195585.0,600104
2012-10-19,10.093,10.025,10.122,9.92,125941.0,600104
2012-10-22,9.95,10.048,10.108,9.831,94888.0,600104
2012-10-23,10.025,9.891,10.07,9.876,83509.0,600104
2012-10-24,9.838,9.95,9.988,9.786,100868.0,600104
2012-10-25,9.943,9.831,10.018,9.786,92851.0,600104
2012-10-26,9.831,9.509,9.831,9.449,141966.0,600104
2012-10-29,9.434,9.502,9.576,9.374,71161.0,600104
2012-10-30,9.509,9.472,9.651,9.427,72417.0,600104
2012-10-31,9.569,9.696,9.778,9.479,130970.0,600104
2012-11-01,9.718,10.07,10.085,9.718,216588.0,600104
2012-11-02,10.1,10.078,10.122,9.988,132585.0,600104
2012-11-05,10.033,9.995,10.137,9.876,122299.0,600104
2012-11-06,10.04,10.1,10.175,9.883,166587.0,600104
2012-11-07,10.1,10.354,10.467,10.1,315111.0,600104
2012-11-08,10.182,10.212,10.467,10.145,170477.0,600104
2012-11-09,10.152,10.122,10.257,10.018,105371.0,600104
2012-11-12,10.078,10.28,10.324,10.07,121257.0,600104
2012-11-13,10.287,10.048,10.287,10.04,90597.0,600104
2012-11-14,10.04,10.055,10.145,10.01,77653.0,600104
2012-11-15,9.943,9.778,9.958,9.718,124524.0,600104
2012-11-16,9.726,9.778,9.801,9.644,69893.0,600104
2012-11-19,9.763,9.801,9.831,9.576,87431.0,600104
2012-11-20,9.823,9.846,9.92,9.644,112736.0,600104
2012-11-21,9.838,10.003,10.01,9.771,106725.0,600104
2012-11-22,9.988,9.853,10.122,9.838,118732.0,600104
2012-11-23,9.92,10.145,10.235,9.846,229440.0,600104
2012-11-26,10.145,10.212,10.362,10.122,310369.0,600104
2012-11-27,10.175,10.078,10.257,10.048,126499.0,600104
2012-11-28,10.048,9.973,10.115,9.92,82962.0,600104
2012-11-29,9.973,10.078,10.235,9.958,139358.0,600104
2012-11-30,10.085,10.526,10.549,10.078,364218.0,600104
2012-12-03,10.444,10.714,10.833,10.384,357707.0,600104
2012-12-04,10.699,10.714,10.953,10.534,283578.0,600104
2012-12-05,10.714,10.878,11.207,10.639,321132.0,600104
2012-12-06,10.878,10.856,10.99,10.788,155515.0,600104
2012-12-07,10.848,11.013,11.132,10.773,286988.0,600104
2012-12-10,11.05,11.118,11.2,10.983,281493.0,600104
2012-12-11,11.035,11.29,11.387,10.998,253821.0,600104
2012-12-12,11.297,11.207,11.342,11.058,190710.0,600104
2012-12-13,11.207,11.132,11.267,10.953,157486.0,600104
2012-12-14,11.162,11.529,11.559,11.132,300900.0,600104
2012-12-17,11.529,11.507,11.806,11.454,260741.0,600104
2012-12-18,11.522,11.753,12.068,11.447,366287.0,600104
2012-12-19,11.761,11.963,12.165,11.701,238186.0,600104
2012-12-20,11.963,12.255,12.292,11.896,252063.0,600104
2012-12-21,12.307,12.33,12.681,12.232,263764.0,600104
2012-12-24,12.21,12.442,12.711,12.21,276206.0,600104
2012-12-25,12.449,12.696,12.756,12.172,331562.0,600104
2012-12-26,12.591,12.337,12.644,12.262,423007.0,600104
2012-12-27,12.3,12.344,12.532,12.068,383654.0,600104
2012-12-28,12.307,12.793,12.861,12.277,320503.0,600104
2012-12-31,12.831,13.197,13.295,12.801,277559.0,600104
2013-01-04,13.28,13.16,13.422,12.95,298670.0,600104
2013-01-07,13.078,12.973,13.182,12.808,222260.0,600104
2013-01-08,12.943,12.651,12.943,12.464,374073.0,600104
2013-01-09,12.554,12.666,12.748,12.532,267994.0,600104
2013-01-10,12.644,12.457,12.958,12.27,339256.0,600104
2013-01-11,12.449,12.494,12.621,12.352,273437.0,600104
2013-01-14,12.539,13.025,13.22,12.352,368220.0,600104
2013-01-15,13.048,12.95,13.227,12.891,213469.0,600104
2013-01-16,12.913,12.479,13.085,12.285,439326.0,600104
2013-01-17,12.479,12.217,12.524,12.083,310073.0,600104
2013-01-18,12.285,12.786,13.003,12.285,356120.0,600104
2013-01-21,12.793,12.711,12.943,12.419,307160.0,600104
2013-01-22,12.778,12.494,12.778,12.27,323819.0,600104
2013-01-23,12.487,12.427,12.689,12.187,215847.0,600104
2013-01-24,12.427,12.09,12.823,11.97,453807.0,600104
2013-01-25,12.21,12.472,12.629,12.21,318341.0,600104
2013-01-28,12.576,13.115,13.167,12.487,374458.0,600104
2013-01-29,13.152,13.003,13.175,12.778,342361.0,600104
2013-01-30,12.995,12.831,13.033,12.704,309713.0,600104
2013-01-31,12.778,12.629,12.853,12.554,198332.0,600104
2013-02-01,12.502,12.651,12.748,12.337,290915.0,600104
2013-02-04,12.726,12.606,12.793,12.27,355833.0,600104
2013-02-05,12.554,13.055,13.16,12.404,404599.0,600104
2013-02-06,13.04,12.801,13.152,12.719,263987.0,600104
2013-02-07,12.741,12.861,12.898,12.741,204095.0,600104
2013-02-08,13.063,13.811,14.125,13.04,663644.0,600104
2013-02-18,13.946,13.99,14.215,13.616,520872.0,600104
2013-02-19,13.99,13.362,14.028,13.175,392881.0,600104
2013-02-20,13.317,13.504,13.706,13.287,374138.0,600104
2013-02-21,13.317,12.823,13.317,12.606,467483.0,600104
2013-02-22,12.793,12.412,12.808,12.307,351423.0,600104
2013-02-25,12.479,12.457,12.614,12.367,173192.0,600104
2013-02-26,12.33,12.187,12.651,12.12,296454.0,600104
2013-02-27,12.21,12.262,12.397,12.187,276622.0,600104
2013-02-28,12.412,12.599,12.681,12.262,283883.0,600104
2013-03-01,12.576,12.33,12.681,12.113,464082.0,600104
2013-03-04,12.053,11.604,12.344,11.454,480041.0,600104
2013-03-05,11.604,11.828,11.866,11.559,242015.0,600104
2013-03-06,11.881,12.023,12.053,11.731,272916.0,600104
2013-03-07,12.023,11.843,12.24,11.724,273123.0,600104
2013-03-08,11.955,12.06,12.232,11.903,285560.0,600104
2013-03-11,11.97,11.851,11.985,11.604,169165.0,600104
2013-03-12,11.851,11.753,12.045,11.716,178761.0,600104
2013-03-13,11.746,11.387,11.753,11.267,248519.0,600104
2013-03-14,11.462,11.364,11.604,11.282,144272.0,600104
2013-03-15,11.409,11.26,11.731,11.013,368419.0,600104
2013-03-18,10.736,10.968,11.177,10.601,816009.0,600104
2013-03-19,10.856,11.147,11.185,10.788,315501.0,600104
2013-03-20,11.215,11.596,11.634,11.185,384201.0,600104
2013-03-21,11.596,11.671,11.768,11.529,227878.0,600104
2013-03-22,11.671,11.656,11.761,11.469,127872.0,600104
2013-03-25,11.731,11.372,11.768,11.297,223270.0,600104
2013-03-26,11.312,11.073,11.349,10.901,234663.0,600104
2013-03-27,11.058,11.162,11.32,11.05,198295.0,600104
2013-03-28,10.998,11.394,11.484,10.848,285395.0,600104
2013-03-29,11.282,11.073,11.402,11.035,239866.0,600104
2013-04-01,11.043,10.841,11.05,10.758,228282.0,600104
2013-04-02,10.871,10.938,10.968,10.758,206274.0,600104
2013-04-03,10.96,10.998,11.215,10.878,161944.0,600104
2013-04-08,10.803,11.02,11.155,10.758,228809.0,600104
2013-04-09,11.147,11.477,11.529,11.08,429925.0,600104
2013-04-10,11.447,11.671,12.0,11.402,470802.0,600104
2013-04-11,11.821,11.656,11.97,11.484,262096.0,600104
2013-04-12,11.596,11.439,11.686,11.409,128624.0,600104
2013-04-15,11.372,11.17,11.694,11.147,255555.0,600104
2013-04-16,11.17,11.589,11.596,11.073,265765.0,600104
2013-04-17,11.604,11.544,11.671,11.32,177465.0,600104
2013-04-18,11.447,11.671,11.843,11.387,205971.0,600104
2013-04-19,11.761,11.858,12.03,11.716,328842.0,600104
2013-04-22,11.858,11.761,11.948,11.589,240479.0,600104
2013-04-23,11.783,11.297,11.798,11.215,356322.0,600104
2013-04-24,11.312,11.26,11.484,10.975,366523.0,600104
2013-04-25,11.245,11.132,11.334,10.983,295105.0,600104
2013-04-26,11.215,11.147,11.297,11.065,207678.0,600104
2013-05-02,11.08,11.147,11.162,10.923,162839.0,600104
2013-05-03,11.185,11.417,11.514,11.185,254021.0,600104
2013-05-06,11.477,11.536,11.634,11.334,243284.0,600104
2013-05-07,11.484,11.619,11.701,11.409,256567.0,600104
2013-05-08,11.724,12.262,12.277,11.724,658501.0,600104
2013-05-09,12.262,11.836,12.262,11.664,634243.0,600104
2013-05-10,11.753,11.903,11.948,11.634,353387.0,600104
2013-05-13,11.911,11.522,12.045,11.507,511041.0,600104
2013-05-14,11.514,11.297,11.566,11.155,321294.0,600104
2013-05-15,11.297,11.342,11.402,11.222,238467.0,600104
2013-05-16,11.327,11.507,11.514,11.192,324891.0,600104
2013-05-17,11.507,11.551,11.641,11.222,499912.0,600104
2013-05-20,11.551,11.776,11.851,11.417,592619.0,600104
2013-05-21,11.783,11.701,11.866,11.581,369663.0,600104
2013-05-22,11.686,11.866,11.955,11.671,440813.0,600104
2013-05-23,11.806,11.454,11.821,11.447,426187.0,600104
2013-05-24,11.462,11.417,11.536,11.327,292940.0,600104
2013-05-27,11.417,11.439,11.574,11.342,342266.0,600104
2013-05-28,11.432,11.656,11.671,11.297,377469.0,600104
2013-05-29,11.679,11.896,12.157,11.679,907601.0,600104
2013-05-30,11.828,11.776,11.881,11.634,473367.0,600104
2013-05-31,11.783,11.694,11.955,11.664,417410.0,600104
2013-06-03,11.694,11.641,11.783,11.596,256345.0,600104
2013-06-04,11.641,11.447,11.649,11.372,297723.0,600104
2013-06-05,11.439,11.544,11.551,11.349,198331.0,600104
2013-06-06,11.522,11.417,11.626,11.387,211033.0,600104
2013-06-07,11.514,11.267,11.559,11.162,278921.0,600104
2013-06-13,11.11,10.826,11.11,10.669,372511.0,600104
2013-06-14,10.788,10.945,10.983,10.714,228148.0,600104
2013-06-17,10.923,10.601,10.945,10.586,334724.0,600104
2013-06-18,10.616,10.609,10.669,10.452,206495.0,600104
2013-06-19,10.586,10.369,10.586,10.235,281183.0,600104
2013-06-20,10.28,9.898,10.317,9.861,275156.0,600104
2013-06-21,9.733,10.085,10.22,9.659,353988.0,600104
2013-06-24,10.018,9.666,10.025,9.621,449752.0,600104
2013-06-25,9.636,9.995,10.085,9.09,547370.0,600104
2013-06-26,9.995,10.025,10.1,9.838,284449.0,600104
2013-06-27,10.025,9.816,10.22,9.801,232759.0,600104
2013-06-28,9.801,9.883,10.048,9.689,234057.0,600104
2013-07-01,9.876,9.816,9.935,9.561,269427.0,600104
2013-07-02,9.771,9.853,9.868,9.636,197794.0,600104
2013-07-03,9.838,9.659,9.838,9.614,227741.0,600104
2013-07-04,9.704,9.988,10.137,9.666,356247.0,600104
2013-07-05,10.055,10.048,10.212,10.04,245520.0,600104
2013-07-08,9.92,9.771,9.92,9.696,187924.0,600104
2013-07-09,9.756,9.853,9.876,9.726,136168.0,600104
2013-07-10,9.906,10.093,10.1,9.838,281558.0,600104
2013-07-11,10.085,10.406,10.586,9.913,635133.0,600104
2013-07-12,10.406,10.108,10.406,10.085,319142.0,600104
2013-07-15,10.171,10.289,10.429,10.171,215332.0,600104
2013-07-16,10.265,10.257,10.336,10.14,179047.0,600104
2013-07-17,10.249,10.116,10.265,10.101,180766.0,600104
2013-07-18,10.101,9.889,10.116,9.819,308315.0,600104
2013-07-19,9.874,9.56,9.936,9.553,288316.0,600104
2013-07-22,9.513,9.6,9.623,9.396,214483.0,600104
2013-07-23,9.631,9.834,9.905,9.521,307254.0,600104
2013-07-24,9.834,9.709,9.928,9.592,251230.0,600104
2013-07-25,9.772,9.615,9.827,9.568,197743.0,600104
