date,open,close,high,low,volume,code
2012-10-08,2.624,2.59,2.641,2.581,357402.0,601668
2012-10-09,2.607,2.633,2.658,2.607,549345.0,601668
2012-10-10,2.633,2.633,2.65,2.624,270004.0,601668
2012-10-11,2.633,2.65,2.65,2.616,342002.0,601668
2012-10-12,2.641,2.624,2.65,2.616,451758.0,601668
2012-10-15,2.624,2.607,2.633,2.573,362888.0,601668
2012-10-16,2.599,2.607,2.624,2.59,230199.0,601668
2012-10-17,2.616,2.624,2.633,2.59,341304.0,601668
2012-10-18,2.633,2.667,2.675,2.616,581002.0,601668
2012-10-19,2.658,2.675,2.675,2.65,350898.0,601668
2012-10-22,2.65,2.658,2.675,2.641,284586.0,601668
2012-10-23,2.658,2.641,2.675,2.641,209106.0,601668
2012-10-24,2.633,2.65,2.667,2.624,267710.0,601668
2012-10-25,2.641,2.65,2.701,2.641,487502.0,601668
2012-10-26,2.65,2.616,2.658,2.599,317714.0,601668
2012-10-29,2.607,2.59,2.616,2.581,213535.0,601668
2012-10-30,2.599,2.607,2.624,2.59,378828.0,601668
2012-10-31,2.607,2.599,2.616,2.59,276044.0,601668
2012-11-01,2.607,2.65,2.675,2.599,775043.0,601668
2012-11-02,2.65,2.701,2.71,2.65,978160.0,601668
2012-11-05,2.693,2.701,2.727,2.675,660544.0,601668
2012-11-06,2.701,2.71,2.71,2.658,468819.0,601668
2012-11-07,2.693,2.701,2.718,2.684,661688.0,601668
2012-11-08,2.684,2.667,2.71,2.658,438723.0,601668
2012-11-09,2.658,2.633,2.667,2.624,559485.0,601668
2012-11-12,2.633,2.658,2.658,2.633,470564.0,601668
2012-11-13,2.65,2.641,2.675,2.633,456915.0,601668
2012-11-14,2.65,2.633,2.65,2.624,239922.0,601668
2012-11-15,2.633,2.607,2.641,2.599,331550.0,601668
2012-11-16,2.599,2.607,2.607,2.59,225477.0,601668
2012-11-19,2.607,2.59,2.616,2.573,263959.0,601668
2012-11-20,2.599,2.59,2.607,2.581,203553.0,601668
2012-11-21,2.59,2.616,2.616,2.581,261660.0,601668
2012-11-22,2.607,2.616,2.616,2.59,287065.0,601668
2012-11-23,2.616,2.641,2.658,2.599,493717.0,601668
2012-11-26,2.641,2.641,2.658,2.616,335167.0,601668
2012-11-27,2.633,2.633,2.641,2.616,274387.0,601668
2012-11-28,2.616,2.624,2.633,2.59,398156.0,601668
2012-11-29,2.616,2.599,2.624,2.599,397465.0,601668
2012-11-30,2.599,2.667,2.684,2.599,976401.0,601668
2012-12-03,2.658,2.735,2.787,2.658,2160615.0,601668
2012-12-04,2.727,2.778,2.804,2.718,1518410.0,601668
2012-12-05,2.778,2.829,2.846,2.752,2342644.0,601668
2012-12-06,2.821,2.812,2.855,2.804,858591.0,601668
2012-12-07,2.821,2.838,2.855,2.795,1398723.0,601668
2012-12-10,2.846,2.889,2.898,2.838,2095772.0,601668
2012-12-11,2.872,2.855,2.898,2.846,1109126.0,601668
2012-12-12,2.855,2.864,2.898,2.855,1171572.0,601668
2012-12-13,2.864,2.872,2.889,2.855,945606.0,601668
2012-12-14,2.881,3.017,3.026,2.872,2847070.0,601668
2012-12-17,3.026,3.06,3.154,3.026,2379595.0,601668
2012-12-18,3.052,3.034,3.137,3.0,1548403.0,601668
2012-12-19,3.034,3.034,3.06,3.0,1089471.0,601668
2012-12-20,3.017,3.103,3.111,2.983,1130408.0,601668
2012-12-21,3.094,3.077,3.146,3.06,1365813.0,601668
2012-12-24,3.069,3.094,3.129,3.06,621770.0,601668
2012-12-25,3.086,3.197,3.231,3.077,1775499.0,601668
2012-12-26,3.188,3.214,3.282,3.18,1326662.0,601668
2012-12-27,3.24,3.197,3.265,3.188,888221.0,601668
2012-12-28,3.205,3.291,3.291,3.197,1073331.0,601668
2012-12-31,3.308,3.334,3.359,3.274,1404789.0,601668
2013-01-04,3.385,3.376,3.419,3.308,2049371.0,601668
2013-01-07,3.359,3.325,3.411,3.308,1456178.0,601668
2013-01-08,3.317,3.265,3.342,3.231,1382833.0,601668
2013-01-09,3.257,3.248,3.291,3.214,1284129.0,601668
2013-01-10,3.248,3.24,3.282,3.214,1522849.0,601668
2013-01-11,3.248,3.146,3.257,3.129,2105199.0,601668
2013-01-14,3.146,3.257,3.282,3.129,1675514.0,601668
2013-01-15,3.265,3.24,3.282,3.214,1323497.0,601668
2013-01-16,3.24,3.214,3.291,3.197,1357680.0,601668
2013-01-17,3.214,3.205,3.24,3.18,866053.0,601668
2013-01-18,3.223,3.248,3.257,3.18,1386419.0,601668
2013-01-21,3.291,3.265,3.325,3.257,1639798.0,601668
2013-01-22,3.265,3.18,3.274,3.154,1609757.0,601668
2013-01-23,3.197,3.146,3.197,3.12,1169403.0,601668
2013-01-24,3.146,3.154,3.248,3.077,1697422.0,601668
2013-01-25,3.146,3.129,3.188,3.103,845192.0,601668
2013-01-28,3.137,3.188,3.214,3.12,1453316.0,601668
2013-01-29,3.188,3.188,3.257,3.171,1772567.0,601668
2013-01-30,3.205,3.18,3.214,3.146,1389813.0,601668
2013-01-31,3.18,3.12,3.18,3.111,1575545.0,601668
2013-02-01,3.12,3.154,3.163,3.094,1554298.0,601668
2013-02-04,3.18,3.163,3.18,3.111,1794661.0,601668
2013-02-05,3.137,3.47,3.479,3.129,6546976.0,601668
2013-02-06,3.445,3.385,3.453,3.368,2763722.0,601668
2013-02-07,3.368,3.419,3.479,3.368,1724066.0,601668
2013-02-08,3.428,3.47,3.556,3.402,2179093.0,601668
2013-02-18,3.496,3.539,3.573,3.453,2319902.0,601668
2013-02-19,3.539,3.402,3.539,3.385,2054162.0,601668
2013-02-20,3.428,3.411,3.436,3.368,1183841.0,601668
2013-02-21,3.394,3.299,3.394,3.265,1918388.0,601668
2013-02-22,3.299,3.265,3.325,3.257,645154.0,601668
2013-02-25,3.274,3.274,3.325,3.257,581357.0,601668
2013-02-26,3.257,3.171,3.274,3.163,1221313.0,601668
2013-02-27,3.188,3.214,3.231,3.171,920050.0,601668
2013-02-28,3.248,3.325,3.351,3.223,1262768.0,601668
2013-03-01,3.325,3.274,3.334,3.231,977758.0,601668
2013-03-04,3.137,2.958,3.137,2.949,3495922.0,601668
2013-03-05,2.958,3.017,3.026,2.94,1314704.0,601668
2013-03-06,3.034,3.043,3.052,3.009,1131103.0,601668
2013-03-07,3.026,3.017,3.052,2.983,834216.0,601668
2013-03-08,3.026,3.017,3.043,3.009,351248.0,601668
2013-03-11,3.017,3.034,3.043,3.009,423445.0,601668
2013-03-12,3.043,3.017,3.077,3.009,839708.0,601668
2013-03-13,3.009,2.975,3.017,2.949,772502.0,601668
2013-03-14,2.958,2.966,2.992,2.949,553024.0,601668
2013-03-15,2.966,2.992,3.026,2.94,1190594.0,601668
2013-03-18,2.966,2.864,2.983,2.787,1814832.0,601668
2013-03-19,2.855,2.915,2.949,2.846,966682.0,601668
2013-03-20,2.915,2.992,3.009,2.906,1304191.0,601668
2013-03-21,3.0,2.966,3.026,2.949,860650.0,601668
2013-03-22,2.958,2.966,2.975,2.915,670939.0,601668
2013-03-25,2.958,2.958,2.992,2.923,744562.0,601668
2013-03-26,2.949,2.906,2.983,2.889,838875.0,601668
2013-03-27,2.923,2.906,2.958,2.898,721659.0,601668
2013-03-28,2.889,2.855,2.898,2.838,1087661.0,601668
2013-03-29,2.872,2.881,2.889,2.855,562478.0,601668
