date,open,close,high,low,volume,code
2012-10-08,7.984,8.0,8.141,7.952,330084.0,600036
2012-10-09,8.086,8.094,8.157,8.023,432623.0,600036
2012-10-10,8.094,8.031,8.094,8.007,233613.0,600036
2012-10-11,8.015,8.023,8.055,7.945,241394.0,600036
2012-10-12,8.063,8.149,8.173,8.047,400727.0,600036
2012-10-15,8.157,8.11,8.165,8.047,160064.0,600036
2012-10-16,8.094,8.11,8.165,8.031,229842.0,600036
2012-10-17,8.118,8.149,8.181,8.07,295653.0,600036
2012-10-18,8.204,8.251,8.291,8.149,375426.0,600036
2012-10-19,8.259,8.212,8.259,8.181,238650.0,600036
2012-10-22,8.157,8.267,8.299,8.149,287582.0,600036
2012-10-23,8.267,8.22,8.338,8.204,268948.0,600036
2012-10-24,8.181,8.228,8.251,8.181,216248.0,600036
2012-10-25,8.204,8.157,8.251,8.141,195557.0,600036
2012-10-26,8.157,8.086,8.204,8.015,246694.0,600036
2012-10-29,8.063,7.96,8.078,7.897,223864.0,600036
2012-10-30,7.968,7.921,8.055,7.866,308360.0,600036
2012-10-31,7.905,7.929,7.952,7.897,209974.0,600036
2012-11-01,7.929,8.102,8.181,7.929,420589.0,600036
2012-11-02,8.086,8.157,8.173,8.063,284513.0,600036
2012-11-05,8.157,8.196,8.251,8.118,262621.0,600036
2012-11-06,8.204,8.165,8.236,8.039,256169.0,600036
2012-11-07,8.165,8.133,8.165,8.07,165172.0,600036
2012-11-08,8.086,8.007,8.118,8.007,183807.0,600036
2012-11-09,8.0,8.031,8.063,7.992,210435.0,600036
2012-11-12,8.063,8.07,8.094,8.023,253174.0,600036
2012-11-13,8.07,7.913,8.078,7.897,196447.0,600036
2012-11-14,7.913,7.929,7.952,7.897,159399.0,600036
2012-11-15,7.905,7.882,7.937,7.874,150956.0,600036
2012-11-16,7.866,7.834,7.921,7.787,215612.0,600036
2012-11-19,7.834,7.803,7.85,7.779,173151.0,600036
2012-11-20,7.827,7.732,7.882,7.701,215420.0,600036
2012-11-21,7.732,7.811,7.819,7.716,222344.0,600036
2012-11-22,7.787,7.787,7.811,7.756,154710.0,600036
2012-11-23,7.819,7.889,7.905,7.779,283828.0,600036
2012-11-26,7.85,7.858,7.882,7.819,186152.0,600036
2012-11-27,7.842,7.842,7.905,7.834,313311.0,600036
2012-11-28,7.842,7.842,7.882,7.827,281759.0,600036
2012-11-29,7.858,7.85,7.897,7.842,182130.0,600036
2012-11-30,7.85,7.882,7.905,7.787,312790.0,600036
2012-12-03,7.874,7.795,7.882,7.732,350315.0,600036
2012-12-04,7.795,7.85,7.874,7.787,239333.0,600036
2012-12-05,7.866,8.188,8.22,7.842,1082187.0,600036
2012-12-06,8.181,8.22,8.306,8.165,658438.0,600036
2012-12-07,8.228,8.495,8.519,8.212,1119334.0,600036
2012-12-10,8.534,8.629,8.715,8.456,1190133.0,600036
2012-12-11,8.629,8.645,8.7,8.566,701450.0,600036
2012-12-12,8.645,8.692,8.818,8.621,677269.0,600036
2012-12-13,8.676,8.55,8.7,8.534,555840.0,600036
2012-12-14,8.597,9.203,9.242,8.59,1650039.0,600036
2012-12-17,9.242,9.211,9.392,9.148,1143675.0,600036
2012-12-18,9.187,9.321,9.502,9.148,1233799.0,600036
2012-12-19,9.321,9.345,9.478,9.282,953511.0,600036
2012-12-20,9.282,9.439,9.502,9.282,828844.0,600036
2012-12-21,9.455,9.36,9.486,9.337,762213.0,600036
2012-12-24,9.4,9.644,9.762,9.376,1095655.0,600036
2012-12-25,9.612,10.045,10.186,9.612,1329924.0,600036
2012-12-26,10.037,10.06,10.178,9.982,878176.0,600036
2012-12-27,10.108,9.919,10.241,9.903,862797.0,600036
2012-12-28,9.935,10.194,10.21,9.927,849173.0,600036
2012-12-31,10.194,10.816,10.855,10.194,1537120.0,600036
2013-01-04,10.871,10.643,10.989,10.501,1500336.0,600036
2013-01-07,10.619,10.698,10.879,10.462,994695.0,600036
2013-01-08,10.737,10.69,10.879,10.485,1033356.0,600036
2013-01-09,10.587,10.619,10.713,10.469,965590.0,600036
2013-01-10,10.619,10.65,10.776,10.517,892694.0,600036
2013-01-11,10.643,10.446,10.729,10.352,920401.0,600036
2013-01-14,10.359,10.886,10.989,10.359,1578658.0,600036
2013-01-15,10.855,10.847,10.918,10.713,1067199.0,600036
2013-01-16,10.816,10.635,10.871,10.493,902998.0,600036
2013-01-17,10.643,10.399,10.65,10.375,1170498.0,600036
2013-01-18,10.509,10.517,10.619,10.391,1108088.0,600036
2013-01-21,10.556,10.674,10.776,10.469,1148859.0,600036
2013-01-22,10.674,11.012,11.083,10.532,1757534.0,600036
2013-01-23,10.934,11.012,11.099,10.816,894900.0,600036
2013-01-24,11.012,10.753,11.406,10.658,1964852.0,600036
2013-01-25,10.808,10.595,10.879,10.556,905871.0,600036
2013-01-28,10.619,11.154,11.28,10.619,1517058.0,600036
2013-01-29,11.162,11.484,11.642,11.044,1906255.0,600036
2013-01-30,11.492,11.311,11.516,11.17,1278143.0,600036
2013-01-31,11.35,11.248,11.398,11.036,1162646.0,600036
2013-02-01,11.17,11.626,11.673,11.13,1689316.0,600036
2013-02-04,11.618,11.461,11.807,11.374,1659690.0,600036
2013-02-05,11.327,11.327,11.437,11.177,1214497.0,600036
2013-02-06,11.327,11.303,11.421,11.114,935289.0,600036
2013-02-07,11.303,11.122,11.303,10.784,1628177.0,600036
2013-02-08,11.075,11.044,11.154,10.902,939297.0,600036
2013-02-18,11.114,10.973,11.225,10.91,864394.0,600036
2013-02-19,10.949,10.879,11.059,10.792,802575.0,600036
2013-02-20,10.902,10.886,10.941,10.564,1108236.0,600036
2013-02-21,10.745,10.525,10.761,10.186,1306216.0,600036
2013-02-22,10.501,10.281,10.525,10.226,813600.0,600036
2013-02-25,10.344,10.257,10.43,10.218,709805.0,600036
2013-02-26,10.139,9.998,10.446,9.95,2254253.0,600036
2013-02-27,10.037,10.1,10.226,9.895,1441149.0,600036
2013-02-28,10.147,10.462,10.477,10.053,1696861.0,600036
2013-03-01,10.462,10.281,10.517,10.076,1279526.0,600036
2013-03-04,10.108,9.651,10.226,9.573,1747873.0,600036
2013-03-05,9.699,10.509,10.595,9.699,2174891.0,600036
2013-03-06,10.517,10.58,10.698,10.336,1529534.0,600036
2013-03-07,10.517,10.312,10.517,10.218,888189.0,600036
2013-03-08,10.344,10.485,10.603,10.171,929943.0,600036
2013-03-11,10.391,10.32,10.407,10.194,483436.0,600036
2013-03-12,10.32,10.147,10.462,10.029,696099.0,600036
2013-03-13,10.147,9.966,10.249,9.911,659827.0,600036
2013-03-14,9.942,9.966,10.131,9.872,475698.0,600036
2013-03-15,9.974,9.887,10.375,9.785,1361572.0,600036
2013-03-18,9.817,9.817,9.99,9.754,659537.0,600036
2013-03-19,9.793,9.911,9.966,9.793,547395.0,600036
2013-03-20,9.935,10.336,10.359,9.919,1343233.0,600036
2013-03-21,10.336,10.328,10.399,10.273,645563.0,600036
2013-03-22,10.375,10.328,10.422,10.265,441087.0,600036
2013-03-25,10.383,10.21,10.446,10.178,559001.0,600036
2013-03-26,10.147,9.982,10.186,9.895,619026.0,600036
2013-03-27,9.958,10.045,10.163,9.958,457293.0,600036
2013-03-28,9.754,9.541,9.754,9.203,1266171.0,600036
2013-03-29,9.589,9.935,10.021,9.533,1023329.0,600036
2013-04-01,9.824,9.754,9.919,9.707,412776.0,600036
2013-04-02,9.817,9.88,10.029,9.73,557653.0,600036
2013-04-03,9.911,10.06,10.21,9.895,632908.0,600036
2013-04-08,9.785,9.919,9.982,9.754,517539.0,600036
2013-04-09,9.982,9.903,10.053,9.84,483413.0,600036
2013-04-10,9.895,9.785,9.95,9.738,302954.0,600036
2013-04-11,9.88,9.746,9.942,9.722,334314.0,600036
2013-04-12,9.746,9.659,9.801,9.644,287103.0,600036
2013-04-15,9.675,9.636,9.754,9.589,333253.0,600036
2013-04-16,9.596,9.714,9.754,9.549,555975.0,600036
2013-04-17,9.699,9.565,9.714,9.518,431828.0,600036
2013-04-18,9.478,9.565,9.675,9.447,575677.0,600036
2013-04-19,9.604,9.927,10.1,9.557,1596852.0,600036
2013-04-22,9.856,9.903,9.942,9.848,590329.0,600036
2013-04-23,9.95,9.549,9.95,9.478,857826.0,600036
2013-04-24,9.557,9.675,9.793,9.502,500285.0,600036
2013-04-25,9.628,9.612,9.714,9.502,496543.0,600036
2013-04-26,9.659,9.557,9.707,9.526,330182.0,600036
2013-05-02,9.518,9.518,9.533,9.4,469734.0,600036
2013-05-03,9.565,9.714,9.872,9.533,689565.0,600036
2013-05-06,9.754,9.856,9.95,9.738,502705.0,600036
2013-05-07,9.809,9.824,9.856,9.738,367890.0,600036
2013-05-08,9.817,9.832,9.95,9.785,545535.0,600036
2013-05-09,9.864,9.699,9.895,9.628,446522.0,600036
2013-05-10,9.754,10.029,10.053,9.73,976040.0,600036
2013-05-13,10.021,10.375,10.391,9.903,1745151.0,600036
2013-05-14,10.367,10.485,10.509,10.304,1527860.0,600036
2013-05-15,10.477,10.69,10.737,10.422,1096631.0,600036
2013-05-16,10.658,10.91,10.965,10.548,1517668.0,600036
2013-05-17,10.91,10.902,10.957,10.713,1016192.0,600036
2013-05-20,10.902,10.902,11.091,10.729,1245787.0,600036
2013-05-21,10.855,10.674,10.863,10.587,1069057.0,600036
2013-05-22,10.682,11.004,11.012,10.682,1404501.0,600036
2013-05-23,10.934,10.635,10.973,10.627,1043927.0,600036
2013-05-24,10.674,10.627,10.792,10.556,554989.0,600036
2013-05-27,10.603,10.532,10.674,10.477,499646.0,600036
2013-05-28,10.501,10.823,10.855,10.477,851492.0,600036
2013-05-29,10.847,10.705,10.926,10.682,596227.0,600036
2013-05-30,10.682,10.682,10.768,10.58,468262.0,600036
2013-05-31,10.69,10.682,10.871,10.643,456585.0,600036
2013-06-03,10.682,10.831,10.926,10.674,701404.0,600036
2013-06-04,10.808,10.816,10.926,10.698,780899.0,600036
2013-06-05,10.816,10.509,10.823,10.375,618170.0,600036
2013-06-06,10.493,10.367,10.532,10.234,671560.0,600036
2013-06-07,10.367,10.359,10.493,10.304,680486.0,600036
2013-06-13,10.243,10.177,10.243,9.764,810353.0,600036
2013-06-14,10.119,10.086,10.161,10.012,580366.0,600036
2013-06-17,10.103,9.996,10.177,9.987,313887.0,600036
2013-06-18,10.029,10.078,10.169,10.02,344910.0,600036
2013-06-19,10.078,9.896,10.078,9.83,398400.0,600036
2013-06-20,9.88,9.475,9.88,9.417,632956.0,600036
2013-06-21,9.335,9.673,9.723,9.236,703208.0,600036
2013-06-24,9.607,9.029,9.607,8.889,1181471.0,600036
2013-06-25,8.922,9.021,9.112,8.261,1280406.0,600036
2013-06-26,9.112,8.806,9.12,8.699,938929.0,600036
2013-06-27,8.872,9.021,9.07,8.831,722900.0,600036
2013-06-28,9.021,9.582,9.616,8.963,1168720.0,600036
2013-07-01,9.5,9.401,9.591,9.252,484821.0,600036
2013-07-02,9.401,9.26,9.467,9.103,639065.0,600036
2013-07-03,9.236,9.376,9.459,9.062,605196.0,600036
2013-07-04,9.302,9.285,9.492,9.169,530585.0,600036
2013-07-05,9.293,9.31,9.376,9.194,375915.0,600036
2013-07-08,9.211,9.112,9.269,9.07,464950.0,600036
2013-07-09,9.103,9.219,9.293,9.07,494188.0,600036
2013-07-10,9.252,9.351,9.376,9.136,414297.0,600036
2013-07-11,9.376,10.037,10.268,9.376,1605217.0,600036
2013-07-12,9.913,9.599,10.004,9.5,901119.0,600036
2013-07-15,9.698,9.624,9.839,9.541,674696.0,600036
2013-07-16,9.616,9.607,9.616,9.426,618611.0,600036
2013-07-17,9.582,9.417,9.624,9.401,526247.0,600036
2013-07-18,9.384,9.236,9.5,9.178,535603.0,600036
2013-07-19,9.252,9.021,9.318,8.988,558328.0,600036
2013-07-22,8.839,8.963,8.996,8.732,568043.0,600036
2013-07-23,9.021,9.136,9.326,8.93,552013.0,600036
2013-07-24,8.963,9.004,9.12,8.822,649577.0,600036
2013-07-25,9.037,8.946,9.136,8.88,414720.0,600036
2013-07-26,8.922,8.872,8.922,8.798,305764.0,600036
2013-07-29,8.756,8.666,8.765,8.591,466252.0,600036
2013-07-30,8.74,8.822,8.913,8.69,490212.0,600036
2013-07-31,8.922,8.756,9.046,8.732,339730.0,600036
2013-08-01,8.831,8.979,9.004,8.781,470898.0,600036
2013-08-02,9.029,8.93,9.136,8.897,360885.0,600036
2013-08-05,8.938,8.963,9.004,8.856,290814.0,600036
2013-08-06,8.905,8.889,8.988,8.822,400976.0,600036
2013-08-07,8.889,8.856,9.012,8.839,380693.0,600036
2013-08-08,8.839,8.88,9.029,8.831,426517.0,600036
2013-08-09,8.955,8.831,9.004,8.715,422536.0,600036
2013-08-12,8.922,9.128,9.136,8.831,819750.0,600036
2013-08-13,9.128,9.211,9.26,9.103,650071.0,600036
2013-08-14,9.236,9.211,9.368,9.178,544141.0,600036
2013-08-15,9.211,9.12,9.285,9.112,395855.0,600036
2013-08-16,9.095,9.079,10.029,8.889,1513499.0,600036
2013-08-19,8.971,9.186,9.293,8.913,680192.0,600036
2013-08-20,9.161,9.112,9.384,9.062,815439.0,600036
2013-08-21,9.178,9.029,9.194,8.979,394809.0,600036
2013-08-22,9.004,9.012,9.211,8.988,465750.0,600036
2013-08-23,9.004,8.723,9.079,8.55,1181589.0,600036
2013-08-26,8.682,8.839,8.847,8.566,1322500.0,600036
2013-08-27,8.756,8.806,8.839,8.69,1035255.0,600036
2013-09-05,9.008,8.975,9.05,8.933,1179014.0,600036
2013-09-06,8.949,9.168,9.227,8.933,811621.0,600036
2013-09-09,9.303,9.749,9.833,9.269,2266909.0,600036
2013-09-10,9.749,9.791,9.901,9.631,1388182.0,600036
2013-09-11,9.774,9.783,9.968,9.707,1362343.0,600036
2013-09-12,9.774,10.027,10.263,9.665,1926315.0,600036
2013-09-13,9.985,9.951,10.128,9.859,1148430.0,600036
2013-09-16,10.086,9.808,10.103,9.682,1058563.0,600036
2013-09-17,9.892,9.421,9.892,9.412,1106656.0,600036
2013-09-18,9.471,9.387,9.53,9.328,672935.0,600036
2013-09-23,9.438,9.421,9.547,9.328,798017.0,600036
2013-09-24,9.429,9.16,9.429,9.109,827974.0,600036
2013-09-25,9.16,9.126,9.311,9.101,659758.0,600036
2013-09-26,9.109,9.059,9.118,8.933,608277.0,600036
2013-09-27,9.034,9.093,9.101,9.008,349028.0,600036
2013-09-30,9.16,9.194,9.236,9.126,425351.0,600036
2013-10-08,9.202,9.185,9.227,9.017,497397.0,600036
2013-10-09,9.177,9.227,9.345,9.109,497034.0,600036
2013-10-10,9.227,9.076,9.236,9.025,500148.0,600036
2013-10-11,9.168,9.21,9.278,9.101,745395.0,600036
2013-10-14,9.219,9.093,9.244,9.059,621651.0,600036
2013-10-15,9.118,9.034,9.135,9.008,575931.0,600036
2013-10-16,9.034,9.034,9.109,8.992,512541.0,600036
2013-10-17,9.076,8.924,9.093,8.916,454981.0,600036
2013-10-18,8.949,8.949,9.025,8.924,324176.0,600036
2013-10-21,8.949,9.059,9.093,8.882,480946.0,600036
2013-10-22,9.042,8.949,9.059,8.924,415171.0,600036
2013-10-23,8.992,8.992,9.177,8.949,644994.0,600036
2013-10-24,8.992,8.949,9.05,8.924,529027.0,600036
2013-10-25,8.924,8.933,9.076,8.882,647078.0,600036
2013-10-28,8.941,8.941,8.958,8.882,295122.0,600036
2013-10-29,8.958,9.135,9.311,8.958,1385308.0,600036
2013-10-30,9.177,9.185,9.194,9.05,787341.0,600036
2013-10-31,9.185,9.042,9.194,9.034,697792.0,600036
2013-11-01,9.151,9.185,9.219,9.084,685405.0,600036
2013-11-04,9.253,9.093,9.269,9.084,406417.0,600036
2013-11-05,9.084,9.05,9.084,8.907,641124.0,600036
2013-11-06,8.983,8.941,9.025,8.933,492100.0,600036
2013-11-07,8.941,9.008,9.017,8.933,381163.0,600036
2013-11-08,8.992,8.907,9.034,8.891,433053.0,600036
2013-11-11,8.924,8.865,8.966,8.848,429034.0,600036
2013-11-12,8.907,8.992,9.0,8.865,589612.0,600036
2013-11-13,8.916,8.697,8.941,8.688,857726.0,600036
2013-11-14,8.756,8.638,8.756,8.621,497759.0,600036
2013-11-15,8.68,8.714,8.865,8.663,776158.0,600036
2013-11-18,8.789,9.547,9.589,8.764,2735360.0,600036
2013-11-19,9.514,9.278,9.547,9.202,1407927.0,600036
2013-11-20,9.354,9.219,9.404,9.151,916080.0,600036
2013-11-21,9.177,9.236,9.244,9.042,1019489.0,600036
2013-11-22,9.244,9.244,9.303,9.16,997510.0,600036
2013-11-25,9.219,9.109,9.303,9.101,554199.0,600036
2013-11-26,9.126,9.118,9.185,9.093,451847.0,600036
2013-11-27,9.126,9.143,9.261,9.059,729021.0,600036
2013-11-28,9.168,9.202,9.32,9.126,715084.0,600036
2013-11-29,9.253,9.185,9.278,9.16,481438.0,600036
2013-12-02,9.177,9.379,9.471,9.16,1307317.0,600036
2013-12-03,9.345,9.345,9.387,9.269,588632.0,600036
2013-12-04,9.32,9.37,9.471,9.286,832132.0,600036
2013-12-05,9.37,9.295,9.387,9.253,626447.0,600036
2013-12-06,9.261,9.244,9.269,9.151,613695.0,600036
2013-12-09,9.244,9.177,9.269,9.16,509282.0,600036
2013-12-10,9.345,9.337,9.412,9.253,1016025.0,600036
2013-12-11,9.354,9.278,9.412,9.261,1105487.0,600036
2013-12-12,9.261,9.194,9.396,9.194,799245.0,600036
2013-12-13,9.059,9.008,9.126,8.966,974082.0,600036
2013-12-16,9.017,8.941,9.109,8.933,870157.0,600036
2013-12-17,8.966,8.949,9.042,8.933,578849.0,600036
2013-12-18,8.949,9.084,9.143,8.941,747025.0,600036
2013-12-19,9.126,9.008,9.16,8.992,657038.0,600036
2013-12-20,9.034,8.697,9.05,8.672,1033165.0,600036
2013-12-23,8.764,8.646,8.798,8.63,781425.0,600036
2013-12-24,8.714,8.562,8.722,8.503,919319.0,600036
2013-12-25,8.596,8.68,8.68,8.495,942767.0,600036
2013-12-26,8.663,8.545,8.672,8.545,514174.0,600036
2013-12-27,8.596,8.68,8.764,8.554,705654.0,600036
2013-12-30,8.731,8.924,8.958,8.663,1041799.0,600036
2013-12-31,8.815,9.168,9.362,8.806,2965469.0,600036
2014-01-02,9.126,9.034,9.143,8.983,532564.0,600036
2014-01-03,8.966,8.848,8.992,8.756,585298.0,600036
2014-01-06,8.84,8.806,8.857,8.688,653970.0,600036
2014-01-07,8.697,8.857,8.874,8.655,542563.0,600036
2014-01-08,8.857,8.949,9.0,8.806,492937.0,600036
2014-01-09,8.933,9.008,9.059,8.933,482233.0,600036
2014-01-10,9.0,9.093,9.109,8.933,629140.0,600036
2014-01-13,9.109,9.16,9.244,9.034,779716.0,600036
2014-01-14,9.135,9.05,9.194,8.966,448678.0,600036
2014-01-15,9.025,8.916,9.05,8.865,355733.0,600036
2014-01-16,8.916,8.882,8.949,8.857,275924.0,600036
2014-01-17,8.865,8.899,8.907,8.764,518745.0,600036
2014-01-20,8.848,8.815,8.924,8.773,275378.0,600036
2014-01-21,8.874,8.865,8.992,8.823,251592.0,600036
2014-01-22,8.891,9.008,9.076,8.823,501236.0,600036
2014-01-23,8.983,8.857,9.017,8.832,386341.0,600036
2014-01-24,8.823,8.781,8.891,8.747,522641.0,600036
2014-01-27,8.756,8.697,8.781,8.655,470787.0,600036
2014-01-28,8.714,8.789,8.815,8.705,397578.0,600036
2014-01-29,8.823,8.848,8.891,8.789,285381.0,600036
2014-01-30,8.832,8.722,8.832,8.688,265392.0,600036
2014-02-07,8.672,8.697,8.731,8.621,320835.0,600036
2014-02-10,8.731,8.781,8.789,8.714,542959.0,600036
2014-02-11,8.756,8.899,9.042,8.697,1084733.0,600036
2014-02-12,8.899,8.848,8.966,8.823,538027.0,600036
2014-02-13,8.815,8.865,9.05,8.781,971381.0,600036
2014-02-14,8.865,8.857,8.907,8.798,422660.0,600036
2014-02-17,8.924,8.848,8.958,8.815,619647.0,600036
2014-02-18,8.848,8.688,8.848,8.672,719371.0,600036
2014-02-19,8.688,8.848,8.916,8.655,1095953.0,600036
2014-02-20,8.848,8.714,8.933,8.705,666546.0,600036
